trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
703,False,"{'a': 0.25, 'e': 0.027524784436031718}",20,6,22.056270067706976,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.25, 'e': 0.027486903748119216}",20,13,14.717399116759074,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.25, 'e': 0.0274491272542363}",20,14,7.605645647938884,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.25, 'e': 0.027411454524885335}",30,11,19.240326318777186,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.25, 'e': 0.027373885132926844}",20,9,18.455488970794526,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.25, 'e': 0.02733641865356331}",20,15,8.633447941754696,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.25, 'e': 0.027299054664323166}",20,8,14.73872186023074,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
710,False,"{'a': 0.25, 'e': 0.02726179274504488}",30,0,46.58324289391666,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
711,False,"{'a': 0.25, 'e': 0.02722463247786119}",20,3,27.820575544801112,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.25, 'e': 0.02718757344718346}",35,18,26.84124197454513,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.25, 'e': 0.02715061523968616}",30,4,39.194083809286425,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.25, 'e': 0.027113757444291484}",20,12,3.330501513745231,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
715,False,"{'a': 0.25, 'e': 0.027076999652154092}",20,11,6.0795522523071215,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
716,False,"{'a': 0.25, 'e': 0.027040341456645953}",20,6,21.30109802622965,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.25, 'e': 0.02700378245334135}",25,10,-17.482482665443815,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
718,False,"{'a': 0.25, 'e': 0.026967322240001982}",25,7,30.76660930834285,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.25, 'e': 0.026930960416562177}",25,16,16.191250009044523,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.25, 'e': 0.026894696585114255}",25,6,20.45077982249809,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
721,False,"{'a': 0.25, 'e': 0.026858530349893987}",30,13,27.551203099177474,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.25, 'e': 0.026822461317266177}",20,7,28.253816063879988,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.25, 'e': 0.026786489095710367}",20,16,8.933856971782923,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.25, 'e': 0.026750613295806636}",20,10,17.37831052864309,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.25, 'e': 0.026714833530221548}",25,11,27.62283088838266,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.25, 'e': 0.026679149413694175}",20,6,19.259725724355395,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.25, 'e': 0.026643560563022264}",20,11,15.7727139256199,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.25, 'e': 0.026608066597048494}",35,12,42.17290521819111,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.25, 'e': 0.026572667136646844}",25,11,22.354367174900297,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.25, 'e': 0.026537361804709093}",20,10,8.142624257828055,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
731,False,"{'a': 0.25, 'e': 0.02650215022613139}",20,13,15.185621573124044,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.25, 'e': 0.026467032027800968}",20,11,18.366636344649944,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.25, 'e': 0.026432006838582937}",25,12,22.355468560125225,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.25, 'e': 0.026397074289307192}",20,0,30.469078713631784,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
735,False,"{'a': 0.25, 'e': 0.026362234012755434}",20,14,7.11407840246149,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.25, 'e': 0.02632748564364827}",20,0,29.426044464269168,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
737,False,"{'a': 0.25, 'e': 0.026292828818632447}",20,3,34.07861861231044,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.25, 'e': 0.026258263176268153}",25,14,21.32874395526901,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.25, 'e': 0.026223788357016446}",25,13,21.332223818031835,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.25, 'e': 0.026189404003226766}",20,13,10.88090186080142,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.25, 'e': 0.026155109759124554}",25,16,16.72733209142803,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.25, 'e': 0.026120905270798963}",20,0,23.76738090215531,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
743,False,"{'a': 0.25, 'e': 0.02608679018619066}",25,0,34.77285002617336,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
744,False,"{'a': 0.25, 'e': 0.026052764155079743}",20,16,8.314450642112476,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.25, 'e': 0.02601882682907373}",20,10,5.50367710946775,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
746,False,"{'a': 0.25, 'e': 0.025984977861595666}",25,11,22.868836320332864,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.25, 'e': 0.025951216907872283}",20,12,7.6902427949790715,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.25, 'e': 0.025917543624922313}",20,11,13.587269346022518,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.25, 'e': 0.025883957671544826}",30,8,39.01340064885005,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.25, 'e': 0.02585045870830771}",35,0,43.90394244858592,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
751,False,"{'a': 0.25, 'e': 0.025817046397536215}",25,8,30.71384545447002,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.25, 'e': 0.02578372040330159}",25,8,16.47089686501777,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
753,False,"{'a': 0.25, 'e': 0.025750480391409807}",20,9,19.28069603100512,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
754,False,"{'a': 0.25, 'e': 0.025717326029390388}",20,15,10.616345402811922,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
755,False,"{'a': 0.25, 'e': 0.025684256986485292}",25,8,14.967276935261191,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
756,False,"{'a': 0.25, 'e': 0.025651272933637902}",20,13,12.513609081889843,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
757,False,"{'a': 0.25, 'e': 0.025618373543482103}",20,7,17.42975139027687,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
758,False,"{'a': 0.25, 'e': 0.025585558490331433}",35,13,-3.4017557243826264,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
759,False,"{'a': 0.25, 'e': 0.025552827450168323}",25,0,30.235333500432667,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
760,False,"{'a': 0.25, 'e': 0.025520180100633418}",20,10,5.516202852191099,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
761,False,"{'a': 0.25, 'e': 0.02548761612101498}",20,12,13.260032667462932,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
762,False,"{'a': 0.25, 'e': 0.025455135192238368}",20,4,26.06632274746016,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
